[FREDDOSO_MISSING] II_II.q15 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q16 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q17 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q18 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q19 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q20 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q21 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q22 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q23 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q24 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q25 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q26 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q27 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q28 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q29 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q30 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q31 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q32 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q33 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q34 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q35 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q36 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q37 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q38 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q39 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q40 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q41 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q42 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q43 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q44 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q45 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q46 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q47 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q49 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q50 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q51 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q52 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q53 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q54 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q55 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q56 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q57 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q58 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q59 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q60 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q61 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q62 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q63 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q64 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q65 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q66 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q67 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q68 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q69 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q70 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q71 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q72 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q73 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q74 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q75 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q76 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q77 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q78 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q79 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q81 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q82 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q83 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q84 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q85 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q86 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q87 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q88 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q89 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q90 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q91 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q92 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q93 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q94 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q95 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q96 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q97 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q98 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q99 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q100 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q101 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q102 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q103 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q104 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q105 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q106 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q107 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q108 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q109 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q110 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q111 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q112 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] II_II.q113 listed in coverage_gaps.json but file not found; fell back to Dominican
